date       dec1    dec2     dec9    dec10
19861231 -0.023371 -0.036105 -0.030159 -0.03942
19870130 0.1345 0.117466 0.118122 0.112802
19870227 0.034946 0.049963 0.074728 0.085552
19870331 0.027426 0.0116 0.016799 0.019874
19870430 -0.006043 -0.029396 -0.03005 -0.025495
19870529 0.007951 0.002424 -0.003272 -0.007786
19870630 0.048735 0.052185 0.021523 0.014544
19870731 0.043458 0.046448 0.025443 0.02071
19870831 0.046213 0.034475 0.025602 0.012928
19870930 -0.022298 -0.024724 -0.025297 -0.010821
19871030 -0.199139 -0.226765 -0.294731 -0.284685
19871130 -0.090103 -0.067051 -0.05015 -0.058542
19871231 0.06548 0.084573 0.054497 0.022103
19880129 0.039771 0.062669 0.061795 0.091765
19880229 0.033432 0.060879 0.076478 0.067733
19880331 -0.041943 -0.015535 0.041196 0.044539
19880429 0.011475 0.007831 0.01893 0.008841
19880531 0.011473 -0.004352 -0.024418 -0.027077
19880630 0.039201 0.062459 0.063333 0.05127
19880729 -0.000411 -0.015994 -0.005433 -0.002028
19880831 -0.030948 -0.027703 -0.020139 -0.02214
19880930 0.04267 0.051955 0.022913 0.013956
19881031 0.030945 0.013948 -0.014927 -0.015075
19881130 -0.009133 -0.025257 -0.033412 -0.03816
19881230 0.017117 0.018028 0.02889 0.027798
19890131 0.071918 0.071046 0.045821 0.049505
19890228 -0.029033 -0.011095 0.004494 0.008568
19890331 0.026084 0.020376 0.023886 0.01877
19890428 0.053636 0.04239 0.024004 0.027621
19890531 0.041332 0.042753 0.033372 0.026537
19890630 -0.006287 0.003887 -0.011226 -0.010943
19890731 0.091464 0.080454 0.033485 0.025981
19890831 0.012235 0.034412 0.021617 0.017153
19890929 0.004051 -0.005745 0.003666 -0.00051
19891031 -0.014476 -0.038987 -0.063807 -0.066103
19891130 0.021663 0.014619 -0.002324 -0.013956
19891229 0.022321 0.018017 -0.007259 -0.023767
19900131 -0.066581 -0.074781 -0.074432 -0.051643
19900228 0.012336 0.021373 0.024179 0.002601
19900330 0.024861 0.016261 0.031943 0.011132
19900430 -0.01531 -0.040769 -0.029128 -0.032647
19900531 0.094656 0.096387 0.053084 0.028272
19900629 -0.003601 -0.012135 0.011627 0.002348
19900731 0.001721 -0.025819 -0.045485 -0.040334
19900831 -0.085012 -0.093924 -0.135053 -0.127085
19900928 -0.040832 -0.0643 -0.097051 -0.085836
19901031 0.006823 -0.027684 -0.06238 -0.076239
19901130 0.053019 0.096312 0.052949 0.02299
19901231 0.022413 0.041288 0.012574 -0.009403
19910131 0.039081 0.061341 0.093931 0.112567
19910228 0.066841 0.07128 0.140083 0.149625
19910328 0.024147 0.023955 0.065622 0.0963
19910430 -0.002811 0.012237 0.003898 0.028176
19910531 0.036385 0.052755 0.028252 0.023484
19910628 -0.041841 -0.056687 -0.044887 -0.035897
19910731 0.047977 0.048847 0.038178 0.023063
19910830 0.025809 0.029386 0.037426 0.015702
19910930 -0.016373 -0.009126 0.017914 0.003264
19911031 0.014056 0.016478 0.036365 0.008265
19911129 -0.03234 -0.048462 -0.039712 -0.027466
19911231 0.117798 0.111706 0.053809 0.018158
19920131 -0.030235 0.006512 0.120155 0.185113
19920228 0.005052 0.023389 0.049727 0.062072
19920331 -0.018471 -0.0237 -0.026945 -0.008243
19920430 0.028233 0.024058 -0.052398 -0.040834
19920529 0.00587 0.008072 0.006464 0.001505
19920630 -0.015218 -0.017322 -0.051647 -0.048663
19920731 0.040451 0.041907 0.032647 0.034898
19920831 -0.018618 -0.023218 -0.027077 -0.028204
19920930 0.008332 0.029615 0.014495 0.008424
19921030 0.00123 0.018379 0.039135 0.014389
19921130 0.031418 0.048064 0.103164 0.089159
19921231 0.011029 0.014712 0.033461 0.048194
19930129 0.000328 0.024171 0.048639 0.077157
19930226 0.011717 0.007707 -0.032947 -0.0168
19930331 0.018974 0.031613 0.028928 0.031737
19930430 -0.028153 -0.029166 -0.036706 -0.020733
19930528 0.027201 0.024509 0.037436 0.030489
19930630 0.004767 -0.000627 0.001301 0.003906
19930730 -0.007145 0.00857 0.012296 0.01819
19930831 0.034928 0.042898 0.045139 0.040327
19930930 -0.005768 -0.000403 0.027397 0.035506
19931029 0.017741 0.009196 0.04077 0.060938
19931130 -0.008795 -0.019592 -0.030032 -0.025355
19931231 0.006755 0.028091 0.0175 0.000277
19940131 0.032081 0.027832 0.042529 0.06185
19940228 -0.031713 -0.019965 -0.000993 -0.008603
19940331 -0.042758 -0.040804 -0.053017 -0.043027
19940429 0.016329 0.001855 -0.009231 -0.018599
19940531 0.020612 0.002153 -0.002114 0.000771
19940630 -0.025368 -0.032869 -0.033171 -0.017254
19940729 0.032307 0.035114 0.002254 0.00955
19940831 0.037264 0.049146 0.048029 0.034204
19940930 -0.023297 -0.025027 0.013571 0.017278
19941031 0.024455 0.019103 0.008063 0.00389
19941130 -0.031149 -0.040866 -0.037776 -0.041903
19941230 0.013466 0.012004 -0.004729 -0.023285
19950131 0.030619 0.019117 0.017529 0.045096
