date      bndPeresi     pg        sp
19951130 -0.04390071 0.06569504 0.04022886
19951229 0.03832648 -0.04130336 0.0172936
19960131 -0.08629267 0.01672633 0.03209636
19960229 -0.06698372 -0.02409804 0.00691007
19960329 -0.1136116 0.0329869 0.007885825
19960430 0.01156326 0.001768435 0.0133416
19960531 -0.03071848 0.03916398 0.02259578
19960628 -0.0208045 0.03081432 0.002254457
19960731 0.0562897 -0.01025945 -0.04682749
19960830 0.04323755 -0.004210853 0.01863921
19960930 0.0384275 0.09262111 0.05275657
19961031 -0.01481633 0.01980263 0.02579542
19961129 0.02120687 0.09393196 0.07080882
19961231 0.003204395 -0.01039888 -0.0217396
19970131 0.02762216 0.07230485 0.05951059
19970228 -0.03199509 0.03818075 0.005910499
19970331 0.00940482 -0.04577696 -0.04354863
19970430 0.06324692 0.09511198 0.056764
19970530 0.03801409 0.09205124 0.05692555
19970630 -0.02244322 0.02418419 0.04253541
19970731 0.0056614 0.07748498 0.07522157
19970829 -0.05592962 -0.1334137 -0.05916207
19970930 0.08226334 0.03687084 0.05178947
19971031 -0.05533023 -0.01179833 -0.03508639
19971128 -0.0405235 0.1136893 0.04362159
19971231 0.06981518 0.04648274 0.01560953
19980130 -0.007391171 -0.01495832 0.01009883
19980227 -0.08506857 0.07967495 0.06807819
19980331 0.04979516 -0.00590842 0.04873873
19980430 0.03490927 -0.02320005 0.009035061
19980529 -0.07246907 0.02032406 -0.01900547
19980630 0.03040846 0.08221849 0.03868018
19980731 0.01807678 -0.1337783 -0.01168298
19980831 0.04775556 -0.03689223 -0.1575864
19980930 0.0659052 -0.07285138 0.06052673
19981030 -0.09315811 0.2238881 0.07723323
19981130 -0.0764411 -0.01205234 0.05744404
19981231 -0.06457093 0.04122159 0.05484324
19990129 -0.04233121 -0.001671396 0.04019044
19990226 -0.1036082 -0.01524664 -0.03281559
19990331 0.1141507 0.09009113 0.03806042
19990430 -0.06338852 -0.03999838 0.03724183
19990528 -0.08840756 -0.00467491 -0.02528704
19990630 0.06999882 -0.04518253 0.05300792
19990730 -0.03312762 0.01812573 -0.03257071
19990831 0.01938473 0.09160149 -0.006273638
19990930 0.06224002 -0.05701066 -0.02896754
19991029 0.009658635 0.1151841 0.06066133
19991130 6.011951e-05 0.03398105 0.0188826
19991231 0.05413762 0.009745359 0.05623287
20000131 0.02452654 -0.07759512 -0.05224533
20000229 0.02509903 -0.1398243 -0.02031292
20000331 0.07246908 -0.4416743 0.09232391
20000428 0.03565473 0.06127006 -0.03128016
20000531 0.147814 0.107033 -0.0221587
20000630 -0.005163156 -0.1497746 0.02365207
20000731 0.01046073 -0.0004370955 -0.01647599
20000831 0.05190795 0.08324956 0.05892812
20000929 -0.00782267 0.08058687 -0.05496635
20001031 0.0218012 0.06901754 -0.004961287
20001130 0.05084043 0.04699713 -0.08345661
20001229 0.06291679 0.04648179 0.004044809
20010131 0.1422065 -0.08300016 0.03405064
20010228 -0.2175957 -0.01882916 -0.09683144
20010330 -0.01140526 -0.1188477 -0.06635884
20010430 -0.1103624 -0.03577641 0.07400668
20010531 -0.04852306 0.06744835 0.00507709
20010629 -0.2532953 -0.006872562 -0.02532191
20010731 -0.01078438 0.1125444 -0.01083044
20010831 -0.1438582 0.04312845 -0.06625519
20010928 0.0006565014 -0.01851128 -0.08525619
20011031 -0.03607867 0.01864608 0.01793716
20011130 -0.2106714 0.04867397 0.07248437
20011231 -0.1201999 0.02132989 0.007545461
20020131 -0.2100928 0.03635893 -0.01569655
20020228 -0.03428545 0.03736804 -0.02098465
20020328 -0.1576686 0.06063121 0.03608021
20020430 0.1248964 0.00608644 -0.06338505
20020531 -0.0802342 -0.0078971 -0.009122484
20020628 -0.03165718 0.005415311 -0.07522475
20020731 0.004343624 0.001119373 -0.08228981
20020830 -0.06030143 -0.003828319 0.004869127
20020930 0.1046818 0.008201277 -0.1165484
20021031 -0.03513984 -0.00583499 0.08290261
20021129 0.05030389 -0.0453311 0.05550093
20021231 -0.06599615 0.0165434 -0.06222972
20030131 -0.0350153 0.0004648919 -0.0277978
20030228 -0.04611145 -0.04432395 -0.01715023
20030331 0.007321843 0.08418764 0.008323265
20030430 -0.04407518 0.01349651 0.07792724
20030530 -0.06332734 0.0216881 0.04964599
20030630 0.04361237 -0.02917344 0.01125839
20030731 -0.1215757 -0.009633251 0.0160938
20030829 -0.07262494 -0.006622883 0.01771516
20030930 0.0124736 0.06142618 -0.0120159
20031031 -0.06930126 0.06187842 0.05350475
20031128 -0.04623157 -0.02107758 0.007103709
20031231 0.02167434 0.03712429 0.04951847
20040130 -0.04260946 0.01643422 0.01712847
20040227 -0.05725641 0.01404787 0.01213507
20040331 0.01535587 0.02285678 -0.01649429
20040430 -0.06820626 0.01297841 -0.01693357
20040528 -0.05728349 0.01938489 0.01201058
20040630 0.02818824 0.00978299 0.01782911
20040730 -0.01024896 -0.03819212 -0.03489273
20040831 0.03806108 0.07069143 0.002284389
20040930 -0.04416237 -0.03361159 0.00932043
20041029 -0.0003267159 -0.05098176 0.01391671
20041130 -0.01327613 0.04395851 0.03786884
20041231 0.03523508 0.02947919 0.03194237
20050131 0.02569819 -0.02947928 -0.02561529
20050228 0.005528452 -0.002633465 0.01872656
20050331 0.07779149 -0.001696438 -0.01930311
20050429 0.0003134315 0.02662343 -0.02031394
20050531 0.08579242 0.01829856 0.0295122
20050630 -0.03483013 -0.04449331 -0.0001430102
20050729 0.002574437 0.05817928 0.03533626
20050831 0.07654526 -0.002699641 -0.01128544
20050930 -0.02437683 0.06928163 0.006924967
20051031 0.008779393 -0.05514174 -0.01790026
20051130 0.0539507 0.02120556 0.03458112
20051230 0.04089357 0.0119928 -0.0009524534
20060131 -0.0180889 0.02777274 0.02514812
20060228 0.009223576 0.01174871 0.0004528974
20060331 0.07633339 -0.03913384 0.01100423
20060428 -0.03761841 0.01532497 0.01211334
20060531 0.06705795 -0.07045465 -0.03140502
20060630 0.01389871 0.02458041 8.699622e-05
20060731 0.07235576 0.0162345 0.00507311
20060831 0.01569423 0.09660389 0.02105087
20060929 0.03406789 0.001291166 0.02426911
20061031 -0.008827429 0.02737292 0.03102181
20061130 0.001377255 -0.009510078 0.01633289
20061229 -0.01295785 0.02329749 0.01253708
20070131 0.005347104 0.0140597 0.01396109
20070228 -0.03408565 -0.02150253 -0.02208816
20070330 0.004913974 -0.005211557 0.009930529
20070430 -0.004146408 0.02486235 0.04238014
20070531 -0.002897451 -0.01328688 0.0320305
20070629 -0.03387268 -0.0378431 -0.01797662
20070731 -0.0242223 0.0165316 -0.0325046
20070831 0.2186278 0.05427131 0.01278196
20070928 -0.1469693 0.07419518 0.03516828
20071031 -0.0343833 -0.006704425 0.01471323
20071130 0.1463462 0.06245072 -0.04504235
20071231 -0.3036061 -0.007868879 -0.008665437
