  PERMNO        date            RET        vwretd        ewretd        sprtrn
   77702    20080627       0.004300     -0.002492     -0.005735     -0.003717
   77702    20080630      -0.037309     -0.001021     -0.005703      0.001267
   77702    20080701      -0.007624      0.001835     -0.006281      0.003836
   77702    20080702       0.003841     -0.020979     -0.018104     -0.018204
   77702    20080703      -0.007653     -0.002414     -0.006058      0.001094
   77702    20080707      -0.039203     -0.008580     -0.011638     -0.008385
   77702    20080708       0.026087      0.017031      0.018354      0.017080
   77702    20080709      -0.040417     -0.019371     -0.014158     -0.022776
   77702    20080710      -0.023777      0.007651      0.002293      0.006990
   77702    20080711      -0.021573     -0.008285     -0.003134     -0.011090
   77702    20080714      -0.004267     -0.008213     -0.012314     -0.009028
   77702    20080715      -0.030000     -0.011497     -0.009188     -0.010901
   77702    20080716       0.055965      0.024045      0.026523      0.025064
   77702    20080717       0.003487      0.009661      0.016424      0.012013
   77702    20080718      -0.003475      0.000356      0.000886      0.000286
   77702    20080721      -0.017434      0.003976      0.006922     -0.000539
   77702    20080722       0.073811      0.011134      0.015198      0.013492
   77702    20080723       0.019167      0.001832      0.006601      0.004064
   77702    20080724      -0.057069     -0.024307     -0.018608     -0.023125
   77702    20080725      -0.008253      0.005544      0.006381      0.004168
   77702    20080728      -0.013176     -0.016525     -0.013749     -0.018597
   77702    20080729       0.053408      0.021244      0.016848      0.023356
   77702    20080730      -0.021348      0.016488      0.006791      0.016672
   77702    20080731       0.001363     -0.011709     -0.002699     -0.013144
   77702    20080801      -0.018380     -0.005174     -0.000643     -0.005578
   77702    20080804      -0.024965     -0.013364     -0.012175     -0.008966
   77702    20080805       0.032717      0.024489      0.013529      0.028719
   77702    20080806       0.028926      0.005722      0.006614      0.003354
   77702    20080807      -0.028112     -0.016834     -0.012514     -0.017934
   77702    20080808       0.041322      0.019178      0.015856      0.023893
   77702    20080811       0.078042      0.006662      0.010688      0.006943
   77702    20080812       0.003681     -0.009628     -0.005649     -0.012051
   77702    20080813      -0.003668     -0.000113      0.002639     -0.002916
   77702    20080814       0.038037      0.005063      0.006583      0.005522
   77702    20080815      -0.013593      0.001344     -0.000840      0.004076
   77702    20080818      -0.010785     -0.013381     -0.009901     -0.015098
   77702    20080819      -0.033919     -0.008866     -0.011698     -0.009315
   77702    20080820      -0.011285      0.006860      0.002737      0.006197
   77702    20080821      -0.005707      0.003188     -0.002198      0.002495
   77702    20080822       0.022959      0.009519      0.009552      0.011333
   77702    20080825      -0.032419     -0.018542     -0.015097     -0.019625
   77702    20080826      -0.000644      0.003556      0.002901      0.003686
   77702    20080827       0.005158      0.009580      0.008219      0.007983
   77702    20080828       0.025016      0.014314      0.013386      0.014840
