    date          smb          hml        mktrf          rf          umd
20140709    -0.003800    -0.001200     0.004600     0.00000     0.003200
20140710    -0.005900     0.000100    -0.004900     0.00000     0.000000
20140711    -0.002100    -0.003800     0.001200     0.00000     0.001100
20140714     0.000000    -0.001300     0.004600     0.00000     0.003800
20140715    -0.009300     0.009800    -0.003200     0.00000    -0.004800
20140716    -0.006000     0.003100     0.003200     0.00000    -0.001300
20140717    -0.003900     0.001700    -0.012100     0.00000    -0.005400
20140718     0.005000    -0.004600     0.011200     0.00000     0.005300
20140721    -0.002400     0.000500    -0.002500     0.00000     0.002300
20140722     0.002500    -0.003100     0.005300     0.00000     0.002800
20140723     0.001300    -0.007500     0.001900     0.00000     0.002600
20140724    -0.002700     0.000400     0.000500     0.00000    -0.001400
20140725    -0.003600     0.001600    -0.005300     0.00000    -0.002400
20140728    -0.004700     0.002700    -0.000800     0.00000    -0.002300
20140729     0.007000    -0.006600    -0.003300     0.00000    -0.002500
20140730     0.004200    -0.003000     0.001200     0.00000    -0.001200
20140731    -0.002000     0.004500    -0.020300     0.00000    -0.006800
20140801    -0.001700    -0.000600    -0.003200     0.00000     0.003100
20140804     0.000200    -0.002200     0.007400     0.00000     0.005500
20140805     0.007700    -0.001900    -0.008400     0.00000    -0.003400
20140806     0.003700     0.001800     0.000200     0.00000    -0.005500
20140807    -0.000400    -0.001500    -0.005200     0.00000     0.001000
20140808    -0.002100    -0.001800     0.011200     0.00000     0.000700
20140811     0.006000    -0.002900     0.004000     0.00000    -0.000100
20140812    -0.005900     0.002500    -0.002300     0.00000    -0.000500
20140813    -0.000800    -0.002300     0.006900     0.00000     0.007900
20140814    -0.002300     0.000500     0.004400     0.00000    -0.003200
20140815    -0.001400    -0.001500     0.000000     0.00000     0.004000
20140818     0.006000    -0.001900     0.009300     0.00000     0.001400
20140819    -0.001200    -0.001000     0.004900     0.00000    -0.000300
20140820    -0.006400     0.002700     0.001900     0.00000     0.000300
20140821    -0.001400     0.008100     0.002800     0.00000    -0.003800
20140822     0.003100    -0.003800    -0.001000     0.00000     0.000800
20140825    -0.002400     0.000300     0.005000     0.00000     0.002900
20140826     0.007000    -0.003300     0.001900     0.00000    -0.002400
20140827    -0.002300     0.001500     0.000000     0.00000     0.000600
20140828    -0.004200     0.000900    -0.001900     0.00000     0.000400
20140829     0.002800     0.001000     0.003900     0.00000     0.000500
20140902     0.004700    -0.000900     0.000600     0.00000     0.002900
20140903    -0.005400     0.002500    -0.001400     0.00000    -0.001500
20140904    -0.001400    -0.001600    -0.001700     0.00000    -0.003500
20140905    -0.002600    -0.000700     0.004500     0.00000     0.003000
20140908     0.005200    -0.004300    -0.002200     0.00000     0.001600
20140909    -0.004200    -0.000200    -0.007200     0.00000     0.001600
20140910     0.002100    -0.003800     0.004500     0.00000    -0.000200
20140911     0.004900     0.002000     0.001900     0.00000    -0.001100
20140912    -0.002300     0.001400    -0.005500     0.00000    -0.004100
20140915    -0.010600     0.006600    -0.002800     0.00000    -0.001200
20140916    -0.003800    -0.001300     0.007000     0.00000     0.006700
20140917     0.000800    -0.002000     0.001700     0.00000     0.000800
20140918     0.000100     0.000300     0.005000     0.00000     0.000600
20140919    -0.009600     0.000500    -0.001800     0.00000     0.000600
20140922    -0.005600     0.001300    -0.009700     0.00000    -0.000500
20140923    -0.003200    -0.000500    -0.006200     0.00000     0.002600
20140924     0.000900    -0.009100     0.008100     0.00000     0.001600
20140925     0.000800     0.001500    -0.016200     0.00000    -0.002200
20140926    -0.000400    -0.002700     0.008500     0.00000     0.005800
20140929     0.001700    -0.004400    -0.002200     0.00000     0.001300
20140930    -0.010000     0.001400    -0.004000     0.00000    -0.001600
20141001    -0.001500     0.003300    -0.013900     0.00000    -0.003400
20141002     0.010200    -0.003800     0.001500     0.00000    -0.002500
20141003    -0.003900    -0.004100     0.010800     0.00000     0.005100
20141006    -0.007800     0.003800    -0.002600     0.00000    -0.003300
20141007    -0.001100     0.001100    -0.015600     0.00000     0.001000
20141008     0.000300    -0.000500     0.017000     0.00000     0.002800
20141009    -0.004100    -0.004100    -0.021700     0.00000     0.000600
20141010    -0.001600     0.005500    -0.013000     0.00000    -0.003900
20141013     0.013200     0.005000    -0.015900     0.00000    -0.009600
20141014     0.008600    -0.001200     0.002800     0.00000    -0.008300
20141015     0.018100    -0.013000    -0.005300     0.00000    -0.007200
20141016     0.010800     0.001800     0.002300     0.00000    -0.002800
20141017    -0.015600    -0.001000     0.011400     0.00000     0.010700
20141020     0.002100    -0.003400     0.009400     0.00000     0.000400
20141021    -0.004100     0.000200     0.019800     0.00000     0.002600
20141022    -0.005600     0.002100    -0.008500     0.00000     0.007500
20141023     0.005100    -0.004600     0.012900     0.00000     0.000600
20141024    -0.004500    -0.001000     0.006600     0.00000     0.010600
20141027     0.001100    -0.002600    -0.001700     0.00000     0.003500
20141028     0.015800    -0.000200     0.013700     0.00000    -0.002900
20141029    -0.000200     0.004400    -0.001800     0.00000     0.002500
20141030     0.002600    -0.004900     0.006000     0.00000     0.000100
20141031     0.002900     0.002000     0.012300     0.00000    -0.000400
20141103    -0.002500    -0.000500    -0.000100     0.00000     0.003400
20141104    -0.000300    -0.001100    -0.003500     0.00000     0.005100
20141105    -0.005400     0.008500     0.004800     0.00000    -0.001900
20141106     0.000900    -0.004900     0.004900     0.00000     0.002100
20141107     0.000000     0.004400     0.000900     0.00000    -0.009000
20141110     0.001900    -0.005000     0.003300     0.00000     0.006200
