  PERMNO        date            ko         vwretd
   11308    19771031      -0.056782     -0.039280
   11308    19771130       0.023679      0.045432
   11308    19771230      -0.016502      0.008218
   11308    19780131      -0.040268     -0.055202
   11308    19780228       0.003497     -0.009275
   11308    19780331       0.067875      0.034013
   11308    19780428       0.115512      0.082841
   11308    19780531       0.008876      0.023238
   11308    19780630      -0.010323     -0.010751
   11308    19780731       0.020958      0.056749
   11308    19780831       0.055718      0.042352
   11308    19780929      -0.012556     -0.006891
   11308    19781031      -0.071023     -0.110997
   11308    19781130       0.019817      0.033792
   11308    19781229       0.063636      0.017710
   11308    19790131      -0.002849      0.049489
   11308    19790228      -0.037143     -0.026766
   11308    19790330      -0.009139      0.065618
   11308    19790430      -0.033333      0.008522
   11308    19790531      -0.015674     -0.013576
   11308    19790629      -0.012994      0.046850
   11308    19790731       0.026144      0.014991
   11308    19790831       0.019108      0.064728
   11308    19790928      -0.072125      0.001428
   11308    19791031      -0.061433     -0.072660
   11308    19791130      -0.007564      0.063603
   11308    19791231       0.026022      0.028212
   11308    19800131       0.018116      0.065607
   11308    19800229      -0.064057      0.001015
   11308    19800331      -0.025399     -0.120224
   11308    19800430       0.055556      0.052288
   11308    19800530       0.015038      0.060090
   11308    19800630      -0.006222      0.037714
   11308    19800731       0.121212      0.069438
   11308    19800829      -0.040541      0.023553
   11308    19800930      -0.076338      0.029498
   11308    19801031      -0.050388      0.020093
   11308    19801128       0.009469      0.104951
   11308    19801231       0.098765     -0.034409
   11308    19810130       0.007491     -0.040085
   11308    19810227       0.066914      0.015521
   11308    19810331       0.044042      0.046184
   11308    19810430      -0.061017     -0.011268
   11308    19810529       0.079422      0.013551
   11308    19810630      -0.054716     -0.010242
   11308    19810731      -0.021583     -0.003080
   11308    19810831      -0.036765     -0.056279
   11308    19810930       0.048244     -0.063772
   11308    19811030       0.092593      0.060162
   11308    19811130      -0.018169      0.045849
   11308    19811231      -0.024561     -0.028096
   11308    19820129      -0.061151     -0.026209
   11308    19820226      -0.072797     -0.051126
   11308    19820331       0.103140     -0.010099
   11308    19820430       0.041985      0.043267
   11308    19820528      -0.044103     -0.028212
   11308    19820630       0.054688     -0.023912
   11308    19820730       0.085185     -0.020526
   11308    19820831       0.075085      0.119013
   11308    19820930       0.050667      0.016761
   11308    19821029       0.073620      0.118636
   11308    19821130       0.145600      0.051935
   11308    19821231       0.050505      0.014516
   11308    19830131      -0.033654      0.041850
   11308    19830228      -0.009950      0.030219
   11308    19830331       0.088844      0.034673
   11308    19830429       0.039720      0.074188
   11308    19830531      -0.067416      0.013226
   11308    19830630      -0.025639      0.037838
   11308    19830729      -0.072682     -0.031567
   11308    19830831       0.113514      0.003463
   11308    19830930       0.000874      0.016059
   11308    19831031       0.024570     -0.028074
   11308    19831130       0.072806      0.029556
   11308    19831230      -0.031674     -0.010464
   11308    19840131      -0.051402     -0.013023
   11308    19840229       0.022167     -0.039073
   11308    19840330       0.071133      0.013389
   11308    19840430       0.000000      0.002534
   11308    19840531       0.002278     -0.052342
   11308    19840629       0.060273      0.023385
   11308    19840731       0.032538     -0.020621
   11308    19840831       0.039916      0.112689
   11308    19840928       0.023273      0.000404
   11308    19841031       0.037924     -0.000074
   11308    19841130      -0.037462     -0.010685
   11308    19841231       0.008081      0.023656
   11308    19850131      -0.038076      0.085718
   11308    19850228       0.058333      0.016896
   11308    19850329       0.114016     -0.001747
   11308    19850430      -0.021429     -0.002186
   11308    19850531      -0.009124      0.055775
   11308    19850628       0.033002      0.017091
   11308    19850731       0.041441     -0.000251
   11308    19850830      -0.008651     -0.004795
   11308    19850930      -0.015846     -0.039825
   11308    19851031       0.026882      0.044441
   11308    19851129       0.172635      0.069228
   11308    19851231       0.015015      0.043061
   11308    19860131      -0.007396      0.009829
   11308    19860228       0.147541      0.072500
   11308    19860331       0.101610      0.053885
   11308    19860430       0.059382     -0.007903
   11308    19860530       0.040359      0.050844
   11308    19860630       0.088621      0.014246
   11308    19860731      -0.064741     -0.059700
   11308    19860829      -0.031949      0.066181
   11308    19860930      -0.098746     -0.079021
   11308    19861031       0.081181      0.049303
   11308    19861128       0.003686      0.015093
   11308    19861231       0.034247     -0.026388
   11308    19870130       0.129139      0.128496
   11308    19870227       0.052786      0.047918
   11308    19870331       0.025738      0.023664
   11308    19870430      -0.068306     -0.017001
   11308    19870529       0.005865      0.005125
   11308    19870630       0.044431      0.043662
   11308    19870731       0.070225      0.044248
   11308    19870831       0.062992      0.037146
   11308    19870930      -0.038914     -0.020774
   11308    19871030      -0.147287     -0.225363
   11308    19871130      -0.096242     -0.072273
   11308    19871231       0.030405      0.070327
   11308    19880129       0.005763      0.044880
   11308    19880229      -0.006645      0.051695
   11308    19880331       0.031438     -0.016598
   11308    19880429       0.000000      0.010991
   11308    19880531      -0.006536      0.000448
   11308    19880630       0.034211      0.051460
   11308    19880729      -0.016026     -0.007272
   11308    19880831       0.042345     -0.028006
   11308    19880930       0.101250      0.037202
   11308    19881031      -0.014286      0.017646
   11308    19881130       0.012754     -0.016412
   11308    19881230       0.028818      0.021075
   11308    19890131       0.047619      0.066103
   11308    19890228       0.021390     -0.016446
   11308    19890331       0.080419      0.021465
   11308    19890428       0.058537      0.048204
   11308    19890531       0.064516      0.039338
   11308    19890630      -0.017922     -0.004866
   11308    19890731       0.206208      0.077131
   11308    19890831      -0.022059      0.022127
   11308    19890929       0.012632     -0.001474
   11308    19891031       0.080224     -0.029285
   11308    19891130       0.072055      0.017814
   11308    19891229       0.000000      0.018295
   11308    19900131      -0.108414     -0.070115
   11308    19900228       0.023593      0.014901
   11308    19900330       0.065957      0.024140
   11308    19900430       0.020067     -0.028286
   11308    19900531       0.183607      0.088934
   11308    19900629      -0.012188     -0.004196
   11308    19900731       0.022535     -0.009403
   11308    19900831      -0.068871     -0.091905
   11308    19900928      -0.060355     -0.053843
   11308    19901031       0.136076     -0.012504
   11308    19901130       0.035097      0.065744
   11308    19901231       0.005405      0.029513
   11308    19910131       0.048387      0.049078
   11308    19910228       0.074359      0.075847
   11308    19910328       0.040382      0.028923
   11308    19910430      -0.027650      0.003315
   11308    19910531       0.085308      0.040733
   11308    19910628      -0.043843     -0.044029
   11308    19910731       0.103211      0.046795
   11308    19910830       0.093555      0.026817
   11308    19910930      -0.015361     -0.010975
   11308    19911031       0.032946      0.017815
   11308    19911129       0.044878     -0.037275
   11308    19911231       0.156757      0.106778
   11308    19920131      -0.034268     -0.001182
   11308    19920228       0.054839      0.013354
   11308    19920331       0.003425     -0.023700
   11308    19920430       0.015291      0.013419
   11308    19920529       0.060241      0.006439
   11308    19920630      -0.087727     -0.019271
   11308    19920731       0.046875      0.039900
   11308    19920831       0.026866     -0.020820
   11308    19920930      -0.054884      0.012447
   11308    19921030       0.003086      0.010986
   11308    19921130      -0.018092      0.040193
   11308    19921231       0.053459      0.017768
   11308    19930129       0.011940      0.012644
   11308    19930226       0.000000      0.005402
   11308    19930331       0.009912      0.025116
   11308    19930430      -0.076246     -0.025400
   11308    19930528       0.053968      0.029599
   11308    19930630       0.040241      0.005440
   11308    19930730       0.005814     -0.000792
   11308    19930831       0.002890      0.039479
