category change duration size
1 -0.05 0.60268 0.3
1 -0.04 0.02291 8
4 0 0.00346 0.7
7 0.09 0.03969 2
1 -0.04 5.17943 1
1 -0.0328 3.32266 1.04
7 0.0328 1.67492 1
4 0 2.00124 1
4 0 5.004965 1
7 0.04 0.1175581 1
4 0 0.7341577 1
4 0 5.000002e-06 7.06
4 0 2.3e-05 0.1
4 0 4.999994e-06 1
4 0 3.000001e-06 0.57
4 0 1e-05 0.43
4 0 2.000001e-06 1.67
4 0 5.999995e-06 2.1
4 0 8.000003e-06 1.23
6 0.02 0.000228 1
1 -0.04 1e-04 1
7 0.04 1.3e-05 1
1 -0.04 5.6e-05 1
7 0.06 0.00077 1
6 0.01 1.1e-05 0.3
1 -0.0325 0.00324 1
7 0.0425 1.964395 1
4 0 6.000002e-06 1
5 0.01 0.928797 2
4 0 0.000399 2
4 0 0.005101 0.7
3 -0.01 1.5e-05 0.3
4 0 0.92347 1
4 0 0.000114 1
4 0 0.001263 1
4 0 0.000293 1
2 -0.01 0.000893 1
4 0 3.999994e-06 0.5
4 0 8.000003e-06 0.5
2 -0.01 0.000563 0.33
4 0 7.4e-05 0.22
4 0 7e-05 0.15
4 0 6.9e-05 0.1
4 0 6.5e-05 0.06
4 0 7.8e-05 0.04
4 0 5.800001e-05 0.03
4 0 5.8e-05 0.02
4 0 5.9e-05 0.01
4 0 1.7e-05 0.04
4 0 4.000001e-06 0.96
4 0 3.9e-05 0.01
6 0.01 5.000002e-06 1
2 -0.01 3.2e-05 0.03
4 0 4.000001e-06 0.64
4 0 8.899999e-05 0.36
3 -0.01 4.000001e-06 0.09
5 0.01 0.068457 1
6 0.01 0.000195 1
2 -0.01 0.000426 1
4 0 0.557178 1
4 0 0.000139 1
4 0 0.000202 1
7 0.02 1.395281 1
5 0.01 0.716574 2
4 0 5.000002e-06 1
7 0.02 0.6122 1
4 0 4.000001e-06 2
2 -0.01 0.017666 1
6 0.019 0.003507 1
5 0.001 0.002253 0.3
4 0 5e-05 0.7
2 -0.02 0.045298 1
2 -0.01 0.003867 1
4 0 0.005591 1
6 0.015 0.002805 1
2 -0.015 0.009636 1
4 0 0.001024 1
4 0 0.003648 2
4 0 0.094465 1
3 -0.01 0.683945 1
4 0 3.999994e-06 2
2 -0.01 0.00136 1.23
4 0 1e-04 0.77
2 -0.01 0.578153 1
4 0 0.3947 1
4 0 0.01207 1
3 -0.01 0.00039 1
4 0 0.00074 0.59
4 0 0.00026 1.32
4 0 1e-05 1
4 0 9.999996e-06 0.68
4 0 5e-05 0.32
4 0 1e-05 1
4 0 0 0.68
4 0 4e-05 0.32
4 0 0.00061 1
2 -0.01 0.00335 1
4 0 1e-05 1
4 0 0 1
2 -0.01 0.00078 1
4 0 0 1
4 0 0 0.33
4 0 3e-05 0.67
4 0 1e-05 0.33
6 0.01 7e-05 1
6 0.02 0.10532 1
3 -0.009 0.88603 0.01
7 0.059 2.91692 1
6 0.02 3.41836 1
4 0 4.88052 1
4 0 4.89098 1
1 -0.03 0.02861 1
4 0 0.24143 1
7 0.03 0.9863 0.67
1 -0.07 1.1444 0.21
6 0.01 1.29839 0.5
6 0.0116 7.91455 1.16
5 0.0084 0.02222 1
1 -0.03 0.66619 0.01
7 0.06 7.93093 1
4 0 9.47946 0.5
1 -0.04 0.87727 0.1
2 -0.01 0.00919 1
4 0 0.00011 1
4 0 0.00096 1
2 -0.01 0.01263 0.79
6 0.01 0.01476 1
2 -0.01 0.00038 1
4 0 2e-05 1
6 0.01 0.00013 1
4 0 1e-05 1
4 0 0.00026 0.79
2 -0.01 0.00018 1
6 0.01 0 1
4 0 0 1
4 0 0 1
4 0 0.00079 1
4 0 0.00023 1
2 -0.01 0.00057 1
6 0.01 0.00073 1
4 0 0.01896 0.06
2 -0.01 0.03654 0.24
4 0 7e-05 0.76
4 0 0.00092 1
4 0 0.00193 1
4 0 0.94835 0.15
7 0.0599 6.802805 0.63
1 -0.0599 0.048971 1
4 0 11.77343 0.25
7 0.025 0.15931 1
7 0.025 1e-05 1
1 -0.025 0.00319 1.05
7 0.025 1.22753 1
5 0.01 0.97837 1
2 -0.02 0.00011 1
6 0.01 1e-05 1
4 0 0 0.5
1 -0.025 1.90224 0.08
1 -0.025 2.74846 1
4 0 6.71577 1
4 0 0 1
4 0 5e-05 1
3 -0.01 0.00071 1
4 0 1e-05 1
5 0.01 9.999996e-06 1
4 0 4.000001e-05 0.33
3 -0.01 9.999996e-06 1
2 -0.01 0.00045 1
4 0 0.00019 0.05
6 0.01 3e-05 1
2 -0.01 2e-04 0.95
2 -0.01 6e-05 1
4 0 9.999996e-06 1
4 0 0.00016 1
4 0 0 1
3 -0.01 0.00133 1
4 0 0 1
4 0 1e-05 1
4 0 0 1
4 0 2e-05 1
4 0 9.999996e-06 0.15
4 0 1e-05 0.85
4 0 5e-05 1
4 0 0.00062 2
4 0 0.00028 1
4 0 0 1
2 -0.01 0.00186 1
7 0.05 0.08581 1
1 -0.08 7.48467 1
4 0 1.09959 1.42
